#Authors: Morton T.D., Bryson S.T., Coughlin J.L., Rowe J.F., Ravichandran G.,
#Table: False Positive Probability Results
#================================================================================
#Byte-by-byte Description of file: apj523473t6_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1-  9 A9     ---     KOI     Kepler Object of Interest identifier
# 132-133 A2     ---     Disp.   Exoplanet Archive disposition code (8)
# 135-141 E7.1   ---     FPP     ? False positive probability (9)
# 143-149 E7.1   ---   e_FPP     ? Uncertainty in FPP (10)
#--------------------------------------------------------------------------------
#    FP = false positive;
#    CA = candidate;
#--------------------------------------------------------------------------------
00001.01 PL 6.2e-03 7.5e-04
00002.01 PL 0.0e+00 0.0e+00
00003.01 PL 0.0e+00 1.5e-06
00004.01 CA 1.8e-02 4.6e-03
00005.01 CA 2.2e-01 1.7e-01
00006.01 FP 1.0e+00 0.0e+00
00007.01 PL 0.0e+00 0.0e+00
00008.01 FP 1.0e+00 0.0e+00
00009.01 FP 3.6e-01 1.7e-01
00010.01 PL 2.1e-06 2.0e-06
00011.01 FP 1.0e+00 0.0e+00
00012.01 PL 2.7e-03 1.6e-03
00013.01 PL 6.2e-03 1.9e-03
00014.01 FP 5.7e-01 3.0e-02
00015.01 FP 1.0e+00 0.0e+00
00016.01 FP 6.7e-01 1.3e-01
00017.01 PL 0.0e+00 0.0e+00
00018.01 PL 0.0e+00 0.0e+00
00019.01 CA 9.9e-01 3.1e-03
00020.01 PL 0.0e+00 0.0e+00
00021.01 FP 1.0e+00 4.2e-04
00022.01 PL 1.3e-06 0.0e+00
00023.01 FP 1.5e-01 2.7e-02
00024.01 FP 2.1e-01 3.4e-02
00025.01 CA 7.5e-01 3.9e-02
00026.01 FP 4.1e-01 2.5e-02
00027.01 FP 2.6e-02 1.1e-02
00028.01 FP 0.0e+00 0.0e+00
00031.01 FP 0.0e+00 0.0e+00
00041.01 PL 0.0e+00 0.0e+00
00041.02 PL 1.9e-04 9.6e-05
00041.03 PL 3.1e-03 3.3e-04
00042.01 PL 3.0e-05 2.1e-05
00044.01 FP 1.0e-01 3.5e-02
00045.01 FP 0.0e+00 0.0e+00
00046.01 PL 0.0e+00 0.0e+00
00046.02 PL 5.4e-04 7.5e-05
00048.01 CA 9.8e-01 2.4e-03
00049.01 CA 0.0e+00 0.0e+00
00051.01 CA 0.0e+00 0.0e+00
00052.01 FP 8.7e-02 4.2e-02
00053.01 FP 0.0e+00 0.0e+00
00061.01 FP 1.0e+00 0.0e+00
00063.01 PL 3.6e-05 9.5e-06
00064.01 CA 5.6e-01 4.6e-02
00069.01 PL 1.2e-04 4.3e-05
00070.01 PL 2.2e-06 1.1e-06
00070.02 PL 2.1e-06 1.8e-06
00070.03 PL 3.1e-06 0.0e+00
00070.04 PL 4.2e-04 3.9e-05
00070.05 PL 1.4e-01 1.1e-02
00072.01 PL 1.6e-04 1.7e-04
00072.02 PL 1.2e-04 7.1e-05
00074.01 FP 6.0e-01 4.3e-01
00075.01 CA 1.7e-02 2.7e-02
00076.01 CA 0.0e+00 0.0e+00
00081.01 FP 1.0e+00 0.0e+00
00082.01 PL 3.9e-06 1.9e-06
00082.02 PL 2.5e-06 0.0e+00
00082.03 PL 8.4e-03 6.2e-04
00082.04 PL 2.6e-03 4.5e-04
00082.05 PL 3.7e-02 3.9e-03
00084.01 PL 3.5e-06 2.0e-06
00085.01 PL 0.0e+00 0.0e+00
00085.02 PL 0.0e+00 0.0e+00
00085.03 PL 1.4e-04 6.4e-05
00087.01 PL 2.5e-02 5.1e-03
00088.01 FP 1.0e+00 0.0e+00
00089.01 CA 9.5e-05 4.0e-06
00089.02 CA 5.8e-01 4.4e-02
00090.01 FP 1.0e+00 0.0e+00
00092.01 CA 9.1e-02 1.1e-02
00094.01 PL 0.0e+00 0.0e+00
00094.02 PL 2.1e-05 8.8e-06
00094.03 PL 3.2e-03 3.7e-03
00094.04 PL 2.9e-04 8.6e-05
00097.01 PL 0.0e+00 0.0e+00
00098.01 PL 0.0e+00 0.0e+00
00100.01 CA 6.0e-01 1.8e-02
00102.01 CA 3.6e-05 3.4e-05
00102.02 FP 8.9e-02 1.0e-02
00103.01 CA 7.3e-01 1.7e-01
00104.01 PL 2.5e-03 1.3e-03
00105.01 CA 7.9e-03 1.4e-03
00106.01 FP 1.0e+00 0.0e+00
00107.01 CA 0.0e+00 0.0e+00
00108.01 PL 6.0e-04 1.7e-04
00108.02 PL 9.0e-05 2.8e-05
00109.01 FP 1.0e+00 0.0e+00
00110.01 CA 1.4e-04 5.0e-05
00111.01 PL 0.0e+00 0.0e+00
00111.02 PL 0.0e+00 0.0e+00
00111.03 PL 2.8e-05 1.2e-05
00112.01 CA 1.8e-05 1.4e-05
00112.02 CA 8.3e-06 2.7e-06
00114.01 FP 1.0e+00 0.0e+00
00115.01 PL 1.6e-04 1.4e-04
00115.02 PL 2.3e-04 1.1e-04
00116.01 PL 8.9e-04 3.1e-04
00116.02 PL 5.7e-05 5.1e-05
00116.03 PL 2.9e-02 2.0e-03
00116.04 PL 1.9e-03 7.7e-05
00117.01 PL 1.1e-04 1.1e-04
00117.02 PL 0.0e+00 0.0e+00
00117.03 PL 1.5e-02 2.2e-03
00117.04 PL 1.8e-03 4.8e-04
00118.01 CA 2.3e-05 1.2e-05
